review_id,domain,entity_id,entity_name,review_text,rating,rating_original,review_date,source,raw_source_path
gp:AOqpTOG5gpmsKLla3rbUgWxmMTgAxZEfPHq0YYAVD1RdazbEPjV3w-aSre9fIhQMPvUh2QjqsjR0DRo3wsVGwA,mobile_app,prox.lab.calclock,prox.lab.calclock,Does not show morning event's,2.0,2.0,2017-08-16 19:17:07,google_play_reviews,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv
e02be8add80882d5fee3ad3bc88f3da1,ecommerce,B0BXNQZW5C,B0BXNQZW5C,quality and value was very good. great colors,5.0,5.0,1678730430042,amazon_reviews_2023_all_beauty,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv
767823b717f5dde75386499b6a147c2a,hotel,Mandarin Oriental Hyde Park London,Mandarin Oriental Hyde Park London,I advice every one stay in this hotel,5.0,10.0,8/8/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
08ee607fba43edb3bd446da4d9c4e829,ecommerce,B017JO9046,B017JO9046,... and a makeup artist and these particular pallets are amazing they're true the color and they definitely have great .... I am a model and a makeup artist and these particular pallets are amazing they're true the color and they definitely have great pigments and the color when you apply to your eyes great for the price as well,5.0,5.0,1457231018000,amazon_reviews_2023_all_beauty,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv
gp:AOqpTOHEzwBeBctHCR28w_JGYBRt9KrmBwH1V4_tNu9lMGon3kzdiMM7fjM_5GTWwuClea-D2As7VvbPBAl4GAg,mobile_app,com.appgenix.bizcal,com.appgenix.bizcal,"Not a big user, but my use is very satisfactory",4.0,4.0,2020-07-16 14:08:30,google_play_reviews,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv
gp:AOqpTOFCjRiUf8dJqtHSIbNI_LImgLuIE4Qj2tvjO2O6Gh21GpCtuq4KbqA-Ky5KZ2lGbYh8jaw6NuV5bVgJjQ,mobile_app,com.appxy.planner,com.appxy.planner,"Love this app!!!  😄   Only thing that bothers me is that when I put repeat on events, it only works sometimes.  So just make sure it actually fills in the reoccurring days that you choose.",4.0,4.0,2016-03-21 22:21:58,google_play_reviews,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv
gp:AOqpTOGkWfVmSlmZXJwOxG0JmLBt0_6fritiyADoprLPEFgV0YONtqH-s1RIFKUJa8mgqsBePoebkkxkbi2d,mobile_app,com.levor.liferpgtasks,com.levor.liferpgtasks,"Very nice. Takes effort to customize, but can be a useful tool.",5.0,5.0,2020-05-26 00:34:39,google_play_reviews,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv
755dfb3d8e3089038b8354d8b2f88008,ecommerce,B07QVBRDQN,B07QVBRDQN,"Great quality. Great packaging, seems like great quality, wonderful gift for my bridesmaids!",5.0,5.0,1599743832458,amazon_reviews_2023_all_beauty,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv
bd6d4fc5256879453a88546a4f0ab2e5,restaurant,https://www.yelp.com/biz/donut-bar-las-vegas,https://www.yelp.com/biz/donut-bar-las-vegas,"Very very good. Had the strawberry cream puff looking donut. The strawberry pop tart. They will push the grilled cheese donut on you but I just ignore upsells and get to what I want. Good coffee, service and donuts.",4.0,4.0,2/13/2019,yelp_restaurant_reviews,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\yelp_restaurant\Yelp Restaurant Reviews.csv
3f14db91b2962c7aec1831f0fa1c6ff3,hotel,Thistle Trafalgar Square The Royal Trafalgar,Thistle Trafalgar Square The Royal Trafalgar,The room was quite small and did not have a refrigerator mini bar making it impossible to keep cool beverages water etc in the room A coffee maker would have also been nice. The staff were helpful friendly The proximity to the theatres was key given there was a one day strike action where all Tube service was suspended,3.15,6.3,8/12/2015,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
